xr,yr,score,Living,Kitchen,Bathroom,Bedroom
8.250000000000004,6.999999999999999,130.17614364622543,21.710921920508646,7.540469519459983,24.003295631092843,39.9792669439383
8.250000000000004,7.099999999999999,121.45648911688525,22.991769319054573,10.368322712354708,22.482063858898755,39.155739027028105
8.250000000000004,7.199999999999998,105.80190652191989,23.490761898638155,13.182315977316426,26.269244549968704,36.35303527401668
8.250000000000004,7.149999999999999,115.19876007928988,23.380573526046078,12.169614012470692,24.457654185880106,38.026414240659385
8.250000000000004,7.299999999999998,77.43037049539808,22.73531321611412,12.238540331596187,27.195723105641324,31.30269553270655
8.250000000000004,7.349999999999998,64.49294245242054,21.86195425099524,9.924805676652612,26.124456086545575,29.165683410818673
8.250000000000004,7.399999999999998,57.00396879585915,20.75114917662654,6.873253107557731,23.858662704752884,29.036117579127815
8.250000000000004,7.249999999999998,92.68238694105072,23.28201823698486,13.248240620824337,27.217108274798854,34.07282026438779
8.300000000000004,6.8,93.28995247831998,18.638508279851,8.399864841643796,26.164646678136457,35.81640709793178
8.300000000000004,6.75,82.10333728997122,19.93289202640441,7.173157324490553,24.430889360501652,34.52500696480013
8.300000000000004,6.85,105.21001419014422,17.110963101535578,9.160912199391582,27.015568785881406,37.23559472935284
8.300000000000004,6.7,75.65250443993997,20.911051170906433,6.530303575359049,22.18741911885267,33.902960685477694
8.300000000000004,6.8999999999999995,114.33608623251581,15.702928776706024,9.219463584962686,26.933620986835262,38.395300174437395
8.300000000000004,6.999999999999999,118.47439336040932,16.048316607436846,8.661860600739567,23.850629661436294,39.44777314849807
8.300000000000004,6.949999999999999,118.82668927229729,15.196502020680168,8.850839870222138,25.873157789456233,39.14647869475334
8.300000000000004,7.049999999999999,114.79970933623294,17.527126560138107,9.272345295819566,21.76615740469087,39.28654221184631
8.300000000000004,7.149999999999999,106.50447989588226,19.81311735432403,12.220303502340792,24.983897840396555,37.48779733416936
8.300000000000004,7.099999999999999,110.95472905620173,18.872711769992026,10.721490525521597,22.390873770245033,38.646124460795434
8.300000000000004,7.199999999999998,98.5100777883911,20.285875961904686,13.120260607330529,27.037058877755044,35.72983682550553
8.300000000000004,7.299999999999998,69.80818329422291,19.764883543508923,12.22317441441944,28.04889100781439,29.75122357997147
8.300000000000004,7.349999999999998,55.981880738781456,18.722646882319196,10.024947224253463,26.94737028005431,26.819235469074197
8.300000000000004,7.249999999999998,85.949046483791,20.275609354764352,13.175657962264706,28.059641786871357,33.21287534879549
8.350000000000005,6.75,65.6443417101149,16.517533759679964,7.79715690488072,24.195339136489196,32.10267140620862
8.350000000000005,6.7,56.52474999729449,18.361285373072565,7.5597465329390445,21.279591068901432,30.698062447207477
8.300000000000004,7.399999999999998,48.26414554716938,17.11394040287271,6.921230849954237,24.582580032972654,26.81850923210039
8.350000000000005,6.8,79.59652998462028,13.684311302161376,8.967085650530136,26.235461861809103,34.228536913159616
8.350000000000005,6.949999999999999,109.72854117846502,9.405114071184714,9.832456917099847,25.917545287899987,38.47623498993743
8.350000000000005,6.8999999999999995,103.1610753513146,4.230056335879535,10.150884811060976,27.106593085680075,37.57644428806685
8.350000000000005,6.85,93.05622203456915,9.06209608994033,9.888502004632812,27.19506488081358,36.150701925499206
8.350000000000005,6.999999999999999,110.72752177108424,13.788259381502375,9.377041483884582,23.544562933227656,38.87519246816457
8.350000000000005,7.049999999999999,107.9845620870575,16.663878649461658,9.47756449727595,20.93751249213025,38.796013269818786
8.350000000000005,7.099999999999999,106.12808502992516,18.54879909098561,10.462111968185575,22.03640122886791,38.24332793454984
8.350000000000005,7.149999999999999,104.22238570532829,19.73505123051996,11.771625265574466,25.233094135751767,37.19220087970974
8.350000000000005,7.199999999999998,98.47502109101103,20.364151512384087,12.683893561578497,27.50502670293439,35.5647913435086
8.350000000000005,7.249999999999998,87.47007706945789,20.50082745576505,12.846029457356467,28.6034080861715,33.17210661118907
8.350000000000005,7.349999999999998,54.49459406951645,19.359649644865623,10.092791532895653,27.49672517332094,25.251046121900167
